sample,group,batch
KCTR8NT1,KCTR_NT,1
KCTR824D,KCTR_D,1
KSS724D,KSS_D,1
KCTR8MESO,KCTR_M,1
KSS524D,KSS_D,1
KSS6MESO,KSS_M,1
KSS5NT1,KSS_NT,1
KCTR7NT1,KCTR_NT,1
KCTR5MESO,KCTR_M,1
KSS7MESO,KSS_M,1
KSS6NT1,KSS_NT,1
KSS624D,KSS_D,1
KSS5MESO,KSS_M,1
KCTR7MESO,KCTR_M,1
KCTR524D,KCTR_D,1
KCTR724D,KCTR_D,1
KCTR5NT1,KCTR_NT,1
KSS7NT1,KSS_NT,1
KCTR8CHL,KCTR_C,2
KSS7CHL,KSS_C,2
KCTR8NT2,KCTR_NT,2
KSS5CHL,KSS_C,2
KSS5ATR,KSS_A,2
KCTR8ATR,KCTR_A,2
KSS7ATR,KSS_A,2
KSS5NT2,KSS_NT,2
KCTR7NT2,KCTR_NT,2
KSS6CHL,KSS_C,2
KCTR5CHL,KCTR_C,2
KCTR7CHL,KCTR_C,2
KCTR7ATR,KCTR_A,2
KSS6NT2,KSS_NT,2
KCTR5NT2,KCTR_NT,2
KSS7NT2,KSS_NT,2
KSS6ATR,KSS_A,2
KCTR5ATR,KCTR_A,2
KCTR4NT3,KCTR_NT,3
KSS5LACT,KSS_L,3
KCTR1NT3,KCTR_NT,3
KSS7LACT,KSS_L,3
KSS3NT3,KSS_NT,3
KCTR4LACT,KCTR_L,3
KSS3LACT,KSS_L,3
KCTR1LACT,KCTR_L,3
KCTR8LACT,KCTR_L,3
KSS5NT3,KSS_NT,3
KCTR8NT3,KCTR_NT,3
KSS7NT3,KSS_NT,3
